Atomic_mass,Atomic_no,Atomic_orbitals,Atomic_radius,Atomic_radius_calculated,Boiling_point,Brinell_hardness,Bulk_modulus,Coefficient_of_linear_thermal_expansion,Common_oxidation_states,Critical_temperature,Density_of_solid,Electrical_resistivity,Electronic_structure,ICSD_oxidation_states,Liquid_range,Melting_point,Mendeleev_no,Mineral_hardness,Molar_volume,Name,Oxidation_states,Poissons_ratio,Reflectivity,Refractive_index,Rigidity_modulus,Shannon_radii,Superconduction_temperature,Thermal_conductivity,Van_der_waals_radius,Velocity_of_sound,Vickers_hardness,X,Youngs_modulus,NMR_Quadrupole_Moment,Metallic_radius,iupac_ordering,IUPAC_ordering,symbol,Z,average_anionic_radius,average_cationic_radius,average_ionic_radius,block,full_electronic_structure,group,icsd_oxidation_states,ionic_radii,is_actinoid,is_alkali,is_alkaline,is_chalcogen,is_halogen,is_lanthanoid,is_metal,is_metalloid,is_noble_gas,is_post_transition_metal,is_quadrupolar,is_rare_earth_metal,is_transition_metal,long_name,max_oxidation_state,min_oxidation_state,number,row,valence,Max_oxidation_state,Min_oxidation_state,Ionic_radii,Ionic_radii_hs,Ionic_radii_ls,Ionic_radii_-1,Ionic_radii_7,Ionic_radii_5,Ionic_radii_8,Ionic_radii_4,Ionic_radii_1,Ionic_radii_2,Ionic_radii_-2,Ionic_radii_-3,Ionic_radii_6,Ionic_radii_3
1.00794,1.0,{'1s': -0.233471},0.25,0.53,20.28 K,no data MN m<sup>-2</sup>,no data GPa,no data x10<sup>-6</sup>K<sup>-1</sup>,"[-1, 1]",33 K,no data kg m<sup>-3</sup>,no data 10<sup>-8</sup> &Omega; m,1s<sup>1</sup>,"[1, -1]",6.27 K,14.01 K,103.0,no data,11.42 cm<sup>3</sup>,Hydrogen,"[-1, 1]",no data,no data %,1.000132 (gas; liquid 1.12)(no units),no data GPa,"{'1': {'I': {'': {'crystal_radius': -0.24, 'ionic_radius': -0.38}}, 'II': {'': {'crystal_radius': -0.04, 'ionic_radius': -0.18}}}}",no data K,0.1805 W m<sup>-1</sup> K<sup>-1</sup>,1.2,1270 m s<sup>-1</sup>,no data MN m<sup>-2</sup>,2.2,no data GPa,{'H-2': 2.86},no data,92.0,92.0,H,1.0,0.0,0.0,0.0,s,"[(1, 's', 1)]",1.0,"(1, -1)",{},False,False,False,False,False,False,False,False,False,False,True,False,False,Hydrogen,1.0,-1.0,1.0,1.0,"(0, 1)",,,,,,,,,,,,,,,,
4.002602,2.0,{'1s': -0.570425},no data,0.31,4.22 K,no data MN m<sup>-2</sup>,no data GPa,no data x10<sup>-6</sup>K<sup>-1</sup>,,5.19 K,no data kg m<sup>-3</sup>,no data 10<sup>-8</sup> &Omega; m,1s<sup>2</sup>,,3.27 K,0.95 K,1.0,no data,21.0 cm<sup>3</sup>,Helium,,no data,no data %,1.000035 (gas; liquid 1.028)(no units),no data GPa,,no data K,0.1513 W m<sup>-1</sup> K<sup>-1</sup>,1.4,970 m s<sup>-1</sup>,no data MN m<sup>-2</sup>,,no data GPa,,no data,5.0,5.0,He,2.0,0.0,0.0,0.0,p,"[(1, 's', 2)]",18.0,(),{},False,False,False,False,False,False,False,False,True,False,False,False,False,Helium,0.0,0.0,2.0,1.0,"(nan, 0)",0.0,0.0,,,,,,,,,,,,,,
6.941,3.0,"{'1s': -1.878564, '2s': -0.10554}",1.45,1.67,1615 K,no data MN m<sup>-2</sup>,11 GPa,46 x10<sup>-6</sup>K<sup>-1</sup>,[1],3223 K,535 kg m<sup>-3</sup>,9.5 10<sup>-8</sup> &Omega; m,[He].2s<sup>1</sup>,[1],1161.31 K,453.69 K,12.0,0.6,13.02 cm<sup>3</sup>,Lithium,[1],no data,no data %,no data,4.2 GPa,"{'1': {'IV': {'': {'crystal_radius': 0.73, 'ionic_radius': 0.59}}, 'VI': {'': {'crystal_radius': 0.9, 'ionic_radius': 0.76}}, 'VIII': {'': {'crystal_radius': 1.06, 'ionic_radius': 0.92}}}}",no data K,85 W m<sup>-1</sup> K<sup>-1</sup>,1.82,6000 m s<sup>-1</sup>,no data MN m<sup>-2</sup>,0.98,4.9 GPa,"{'Li-6': -0.808, 'Li-7': -40.1}",1.52,11.0,11.0,Li,3.0,0.0,0.9,0.9,s,"[(1, 's', 2), (2, 's', 1)]",1.0,"(1,)",{1: 0.9},False,True,False,False,False,False,True,False,False,False,True,False,False,Lithium,1.0,1.0,3.0,2.0,"(0, 1)",,,{'1': 0.9},,,,,,,,0.9,,,,,
9.012182,4.0,"{'1s': -3.856411, '2s': -0.205744}",1.05,1.12,2742 K,600 MN m<sup>-2</sup>,130 GPa,11.3 x10<sup>-6</sup>K<sup>-1</sup>,[2],no data K,1848 kg m<sup>-3</sup>,3.8 10<sup>-8</sup> &Omega; m,[He].2s<sup>2</sup>,[2],1182 K,1560 K,77.0,5.5,4.85 cm<sup>3</sup>,Beryllium,[2],0.032,no data %,no data,132 GPa,"{'2': {'III': {'': {'crystal_radius': 0.3, 'ionic_radius': 0.16}}, 'IV': {'': {'crystal_radius': 0.41, 'ionic_radius': 0.27}}, 'VI': {'': {'crystal_radius': 0.59, 'ionic_radius': 0.45}}}}",0.026 K,190 W m<sup>-1</sup> K<sup>-1</sup>,1.53,13000 m s<sup>-1</sup>,1670 MN m<sup>-2</sup>,1.57,287 GPa,{'Be-9': 52.88},1.12,17.0,17.0,Be,4.0,0.0,0.59,0.59,s,"[(1, 's', 2), (2, 's', 2)]",2.0,"(2,)",{2: 0.59},False,False,True,False,False,False,True,False,False,False,True,False,False,Beryllium,2.0,2.0,4.0,2.0,,,,{'2': 0.59},,,,,,,,,0.59,,,,
10.811,5.0,"{'1s': -6.564347, '2p': -0.136603, '2s': -0.344701}",0.85,0.87,4200 K,no data MN m<sup>-2</sup>,320 GPa,6 x10<sup>-6</sup>K<sup>-1</sup>,[3],no data K,2460 kg m<sup>-3</sup>,&gt; 10<sup>12</sup>10<sup>-8</sup> &Omega; m,[He].2s<sup>2</sup>.2p<sup>1</sup>,"[3, -3]",1851 K,2349 K,86.0,9.3,4.39 cm<sup>3</sup>,Boron,"[1, 2, 3]",no data,no data %,no data,no data GPa,"{'3': {'III': {'': {'crystal_radius': 0.15, 'ionic_radius': 0.01}}, 'IV': {'': {'crystal_radius': 0.25, 'ionic_radius': 0.11}}, 'VI': {'': {'crystal_radius': 0.41, 'ionic_radius': 0.27}}}}",no data K,27 W m<sup>-1</sup> K<sup>-1</sup>,1.92,16200 m s<sup>-1</sup>,49000 MN m<sup>-2</sup>,2.04,no data GPa,"{'B-10': 84.59, 'B-11': 40.59}",no data,81.0,81.0,B,5.0,0.0,0.41,0.41,p,"[(1, 's', 2), (2, 's', 2), (2, 'p', 1)]",13.0,"(3, -3)",{3: 0.41},False,False,False,False,False,False,False,True,False,False,True,False,False,Boron,3.0,1.0,5.0,2.0,"(1, 1)",,,{'3': 0.41},,,,,,,,,,,,,0.41
12.0107,6.0,"{'1s': -9.947718, '2p': -0.199186, '2s': -0.500866}",0.7,0.67,4300 K,no data MN m<sup>-2</sup>,33 GPa,7.1 x10<sup>-6</sup>K<sup>-1</sup>,"[-4, 4]",no data K,2267 kg m<sup>-3</sup>,about 1000 - direction dependent10<sup>-8</sup> &Omega; m,[He].2s<sup>2</sup>.2p<sup>2</sup>,"[2, 3, 4, -4, -3, -2]",500 K,3800 K,95.0,0.5 (graphite; diamond is 10.0)(no units),5.29 cm<sup>3</sup>,Carbon,"[-4, -3, -2, -1, 1, 2, 3, 4]",no data,27 %,2.417 (diamond)(no units),no data GPa,"{'4': {'III': {'': {'crystal_radius': 0.06, 'ionic_radius': -0.08}}, 'IV': {'': {'crystal_radius': 0.29, 'ionic_radius': 0.15}}, 'VI': {'': {'crystal_radius': 0.3, 'ionic_radius': 0.16}}}}",no data K,140 W m<sup>-1</sup> K<sup>-1</sup>,1.7,18350 m s<sup>-1</sup>,no data MN m<sup>-2</sup>,2.55,no data GPa,{'C-11': 33.27},no data,86.0,86.0,C,6.0,0.0,0.3,0.3,p,"[(1, 's', 2), (2, 's', 2), (2, 'p', 2)]",14.0,"(2, 3, 4, -4, -3, -2)",{4: 0.3},False,False,False,False,False,False,False,False,False,False,True,False,False,Carbon,4.0,-4.0,6.0,2.0,"(1, 2)",,,{'4': 0.3},,,,,,,0.3,,,,,,
14.0067,7.0,"{'1s': -14.011501, '2p': -0.266297, '2s': -0.676151}",0.65,0.56,77.36 K,no data MN m<sup>-2</sup>,no data GPa,no data x10<sup>-6</sup>K<sup>-1</sup>,"[-3, 3, 5]",126.2 K,no data kg m<sup>-3</sup>,no data 10<sup>-8</sup> &Omega; m,[He].2s<sup>2</sup>.2p<sup>3</sup>,"[1, 3, 5, -1, -3, -2]",14.31 K,63.05 K,100.0,no data,13.54 cm<sup>3</sup>,Nitrogen,"[-3, -2, -1, 1, 2, 3, 4, 5]",no data,no data %,1.000298 (gas; liquid 1.197)(no units),no data GPa,"{'-3': {'IV': {'': {'crystal_radius': 1.32, 'ionic_radius': 1.46}}}, '3': {'VI': {'': {'crystal_radius': 0.3, 'ionic_radius': 0.16}}}, '5': {'III': {'': {'crystal_radius': 0.044, 'ionic_radius': -0.104}}, 'VI': {'': {'crystal_radius': 0.27, 'ionic_radius': 0.13}}}}",no data K,0.02583 W m<sup>-1</sup> K<sup>-1</sup>,1.55,333.6 m s<sup>-1</sup>,no data MN m<sup>-2</sup>,3.04,no data GPa,{'N-14': 20.44},no data,91.0,91.0,N,7.0,1.32,0.28500000000000003,0.63,p,"[(1, 's', 2), (2, 's', 2), (2, 'p', 3)]",15.0,"(1, 3, 5, -1, -3, -2)","{-3: 1.32, 3: 0.3, 5: 0.27}",False,False,False,False,False,False,False,False,False,False,True,False,False,Nitrogen,5.0,-3.0,7.0,2.0,"(1, 3)",,,"{'-3': 1.32, '3': 0.3, '5': 0.27}",,,,,0.27,,,,,,1.32,,0.3
15.9994,8.0,"{'1s': -18.758245, '2p': -0.338381, '2s': -0.871362}",0.6,0.48,90.2 K,no data MN m<sup>-2</sup>,no data GPa,no data x10<sup>-6</sup>K<sup>-1</sup>,[-2],154.6 K,no data kg m<sup>-3</sup>,no data 10<sup>-8</sup> &Omega; m,[He].2s<sup>2</sup>.2p<sup>4</sup>,[-2],35.4 K,54.8 K,101.0,no data,17.36 cm<sup>3</sup>,Oxygen,"[-2, -1, 1, 2]",no data,no data %,1.000271 (gas; liquid 1.221)(no units),no data GPa,"{'-2': {'II': {'': {'crystal_radius': 1.21, 'ionic_radius': 1.35}}, 'III': {'': {'crystal_radius': 1.22, 'ionic_radius': 1.36}}, 'IV': {'': {'crystal_radius': 1.24, 'ionic_radius': 1.38}}, 'VI': {'': {'crystal_radius': 1.26, 'ionic_radius': 1.4}}, 'VIII': {'': {'crystal_radius': 1.28, 'ionic_radius': 1.42}}}}",no data K,0.02658 W m<sup>-1</sup> K<sup>-1</sup>,1.52,317.5 m s<sup>-1</sup>,no data MN m<sup>-2</sup>,3.44,no data GPa,{'O-17': -25.58},no data,97.0,97.0,O,8.0,1.26,0.0,1.26,p,"[(1, 's', 2), (2, 's', 2), (2, 'p', 4)]",16.0,"(-2,)",{-2: 1.26},False,False,False,True,False,False,False,False,False,False,True,False,False,Oxygen,2.0,-2.0,8.0,2.0,"(1, 4)",,,{'-2': 1.26},,,,,,,,,,1.26,,,
18.9984032,9.0,"{'1s': -24.189391, '2p': -0.415606, '2s': -1.086859}",0.5,0.42,85.03 K,no data MN m<sup>-2</sup>,no data GPa,no data x10<sup>-6</sup>K<sup>-1</sup>,[-1],144 K,no data kg m<sup>-3</sup>,no data 10<sup>-8</sup> &Omega; m,[He].2s<sup>2</sup>.2p<sup>5</sup>,[-1],31.5 K,53.53 K,102.0,no data,11.20 cm<sup>3</sup>,Fluorine,[-1],no data,no data %,1.000195,no data GPa,"{'-1': {'II': {'': {'crystal_radius': 1.145, 'ionic_radius': 1.285}}, 'III': {'': {'crystal_radius': 1.16, 'ionic_radius': 1.3}}, 'IV': {'': {'crystal_radius': 1.17, 'ionic_radius': 1.31}}, 'VI': {'': {'crystal_radius': 1.19, 'ionic_radius': 1.33}}}, '7': {'VI': {'': {'crystal_radius': 0.22, 'ionic_radius': 0.08}}}}",no data K,0.0277 W m<sup>-1</sup> K<sup>-1</sup>,1.47,no data m s<sup>-1</sup>,no data MN m<sup>-2</sup>,3.98,no data GPa,{'F-19': -94.2},no data,102.0,102.0,F,9.0,1.19,0.22,0.705,p,"[(1, 's', 2), (2, 's', 2), (2, 'p', 5)]",17.0,"(-1,)","{-1: 1.19, 7: 0.22}",False,False,False,False,True,False,False,False,False,False,True,False,False,Fluorine,-1.0,-1.0,9.0,2.0,"(1, 5)",,,"{'-1': 1.19, '7': 0.22}",,,1.19,0.22,,,,,,,,,
20.1797,10.0,"{'1s': -30.305855, '2p': -0.498034, '2s': -1.322809}",no data,0.38,27.07 K,no data MN m<sup>-2</sup>,no data GPa,no data x10<sup>-6</sup>K<sup>-1</sup>,,44.4 K,no data kg m<sup>-3</sup>,no data 10<sup>-8</sup> &Omega; m,[He].2s<sup>2</sup>.2p<sup>6</sup>,,2.51 K,24.56 K,2.0,no data,13.23 cm<sup>3</sup>,Neon,,no data,no data %,1.000067,no data GPa,,no data K,0.0491 W m<sup>-1</sup> K<sup>-1</sup>,1.54,936 m s<sup>-1</sup>,no data MN m<sup>-2</sup>,,no data GPa,{'Ne-21': 101.55},no data,4.0,4.0,Ne,10.0,0.0,0.0,0.0,p,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6)]",18.0,(),{},False,False,False,False,False,False,False,False,True,False,True,False,False,Neon,0.0,0.0,10.0,2.0,"(nan, 0)",0.0,0.0,,,,,,,,,,,,,,
